Country Name,Country Code,"GNI per capita, PPP (current international $)","Mortality rate, under-5 (per 1,000 live births)"
India,IND,6030,47.7
Bangladesh,BGD,3560,37.6
Colombia,COL,13550,15.9
Brazil,BRA,15050,16.4
Cambodia,KHM,3300,28.7
Ecuador,ECU,11270,21.6
Bolivia,BOL,6710,38.4
Ethiopia,ETH,1620,59.2
Indonesia,IDN,10700,27.2
Afghanistan,AFG,1940,91.1
Dominican Republic,DOM,13600,30.9
China,CHN,14390,10.7
Bhutan,BTN,7630,32.9
Guatemala,GTM,7530,29.1
Chile,CHL,21790,8.1
Honduras,HND,4750,20.4
Benin,BEN,2050,99.5
Azerbaijan,AZE,17170,31.7
Ghana,GHA,4080,61.6
El Salvador,SLV,8240,16.8
Haiti,HTI,1760,69
"Congo, Dem. Rep.",ZAR,720,98.3
Cameroon,CMR,3070,87.9
Burkina Faso,BFA,1660,88.6
"Egypt, Arab Rep.",EGY,10710,24
Armenia,ARM,8770,14.1
Zimbabwe,ZWE,1710,70.7
"Yemen, Rep.",YEM,2720,41.9
Uruguay,URY,20400,10.1
"Venezuela, RB",VEN,,14.9
Ukraine,UKR,7840,9
Tunisia,TUN,11250,14
Spain,ESP,34510,4.1
South Africa,ZAF,12880,40.5
Puerto Rico,PRI,,
New Zealand,NZL,35580,5.7
"Korea, Rep.",KOR,34710,3.4
Albania,ALB,11090,14
Algeria,DZA,14310,25.5
American Samoa,ASM,,
Andorra,ADO,,2.8
Angola,AGO,6470,156.9
Antigua and Barbuda,ATG,22280,8.1
Argentina,ARG,20010,12.5
Aruba,ABW,,
Australia,AUS,44570,3.8
Austria,AUT,47930,3.5
"Bahamas, The",BHS,21970,12.1
Bahrain,BHR,38660,6.2
Barbados,BRB,15610,13
Belarus,BLR,16870,4.6
Belgium,BEL,44000,4.1
Belize,BLZ,8020,16.5
Bermuda,BMU,,
Bosnia and Herzegovina,BIH,10680,5.4
Botswana,BWA,15510,43.6
British Virgin Islands,VGB,,
Brunei Darussalam,BRN,82140,10.2
Bulgaria,BGR,17600,10.4
Burundi,BDI,730,81.7
Cabo Verde,CPV,6320,24.5
Canada,CAN,44010,4.9
Cayman Islands,CYM,,
Central African Republic,CAF,620,130.1
Chad,TCD,2110,138.7
Channel Islands,CHI,,
Comoros,COM,1490,73.5
"Congo, Rep.",COG,6320,45
Costa Rica,CRI,14910,9.7
Cote d'Ivoire,CIV,3260,92.6
Croatia,HRV,21750,4.3
Cuba,CUB,,5.5
Curacao,CUW,,
Cyprus,CYP,31010,2.7
Czech Republic,CZE,30610,3.4
Denmark,DNK,47820,3.5
Djibouti,DJI,,65.3
Dominica,DMA,10500,21.2
Equatorial Guinea,GNQ,27200,94.1
